t,m1,p1,m2,p2,m3,p3
0.0,0.2,0.1,0.3,0.1,0.4,0.5
0.1,21.13239899448913,0.3222325570074079,27.676525508362094,0.3843087978743321,27.50435382023067,0.7771685429826017
0.2,32.07356149017997,0.8604870726209594,46.298301482105906,1.1295556676517764,43.54126434316216,1.4903946730606907
0.3,35.1843073087281,1.5177190218846277,53.86665024590642,2.1137428189205734,47.57410523245535,2.3762269114197703
0.4,35.04532736396554,2.186089785661563,55.22650457044613,3.158545554979832,46.70417823361233,3.266833050576399
0.5,33.66807072347836,2.8242774933881574,53.89510988333813,4.179113495421054,44.244498208998685,4.103899176676268
0.6,31.81131348560308,3.4170428822705503,51.416592738708395,5.140128546175051,41.291129129541424,4.869783635693588
0.7,29.793084887240692,3.9593442214343986,48.47055241283644,6.027620891281799,38.247735273807905,5.560702743903203
0.8,27.760196011758573,4.450648169091886,45.378346406291676,6.83741831750329,35.2800867650464,6.178274845880194
0.9,25.78609211928804,4.892460088685935,42.30491142804819,7.569924524593275,32.4616760302673,6.726248113942813
1.0,23.90707629034235,5.287338144572396,39.33546163656865,8.22800217534976,29.822626365441383,7.209319341691957
1.1,22.140095973768073,5.638294202509168,36.51355054475445,8.815686107390219,27.372247133937996,7.632444194907294
1.2,20.49245484925256,5.9484829132884816,33.861749647856314,9.33750215127353,25.1102284264723,8.000537277527828
1.3,18.96470044161778,6.221100362974484,31.387818207930568,9.798241184309811,23.0298534503517,8.318379952402966
1.4,17.553896284096886,6.459239666006566,29.091711092423886,10.202649176082693,21.121696672811403,8.59046369016689
1.5,16.25534121842777,6.665849892976422,26.969201168649008,10.555317495890488,19.375198734163064,8.820989061261903
1.6,15.06340670188846,6.843719902350754,25.013661682550083,10.86063368561195,17.77941325778946,9.013875352152434
1.7,13.971627307829422,6.995478122541902,23.216269835653396,11.122777816773862,16.323087425422937,9.172763419817635
1.8,12.973431190536028,7.12356162641937,21.567616015847076,11.345648039138867,14.995440286565033,9.300982673816454
1.9,12.062319910346574,7.230210785899789,20.058066269728307,11.53284593444461,13.786304381722372,9.401550407542558
2.0,11.232038260107874,7.317510329441006,18.67816576147356,11.68773369824815,12.686063997736277,9.477259101923433
2.1,10.476603004055816,7.387391544079942,17.418705195149435,11.813436483789234,11.685669727023583,9.53068176841728
2.2,9.790303090784633,7.441632581568874,16.27072228038338,11.912842826641956,10.776638260460741,9.564172371404197
2.3,9.167751324992649,7.4818654391832276,15.225677530322995,11.988609558303489,9.951127180907088,9.579870473342515
2.4,8.603971855901646,7.509563458841981,14.27565795910232,12.043135945489473,9.202069382107243,9.579679544128144
2.5,8.094328189320642,7.526083499408453,13.413230044845971,12.078634313169713,8.522919769822781,9.565344110097888
2.6,7.634510056141937,7.532679785653204,12.631432515424555,12.097151763459165,7.907601695415554,9.538472144677511
2.7,7.220533412341124,7.530503908254038,11.923776348454687,12.100570175617937,7.350506955847721,9.500535068381732
2.8,6.848737227342271,7.520605948115771,11.284240378475438,12.090607973911968,6.846491276007388,9.452869193527752
2.9,6.515737650664012,7.503945544587502,10.707242433008732,12.068833981795407,6.390861448086544,9.396682456856217
3.0,6.2184565672364105,7.481378403966575,10.187720882705534,12.036641728639554,5.9794613640491585,9.333030552689
3.1,5.9540561462740955,7.453692122815655,9.720979292072524,11.995312660267412,5.608457323395843,9.262880905919308
3.2,5.719918450063462,7.4216149924281245,9.302648917504332,11.946030989511472,5.274292952524497,9.187126376385258
3.3,5.513645433962659,7.3858159988280825,8.92868870728352,11.889883696213696,4.973689204730298,9.106585258869858
3.4,5.333058946401609,7.346904822770346,8.595385301580619,11.827860527225528,4.70364436020573,9.02200128310103
3.5,5.176187646688838,7.305434387238859,8.299336609506456,11.760857557401362,4.461425847290578,8.934045511736262
3.6,5.041195491490364,7.261906902638177,8.037400686587423,11.689680049773893,4.244580693622411,8.843309819921515
3.7,4.926419946953755,7.216768502639837,7.806743482513677,11.615035857555538,4.050940221675878,8.75030755038577
3.8,4.8303301479243625,7.170431828885836,7.604723503337169,11.537576774673042,3.8784891013449116,8.655511937800368
3.9,4.751520032098559,7.12327815099986,7.4288796475959575,11.457902037615675,3.7253554385469676,8.559358835498738
4.0,4.688708340023732,7.075657366587281,7.276931206314208,11.376558325435246,3.589810775223032,8.462246715476418
4.1,4.640738615098286,7.02788800123516,7.146777863002192,11.294039759746084,3.4702700893376157,8.364536668391032
4.2,4.606578557927616,6.980257347893272,7.036498840893889,11.210788099966548,3.3652913164847997,8.26655251928382
4.3,4.585260930638057,6.933029329669066,6.944296819689842,11.127200772610768,3.273559663319152,8.168582364084136
4.4,4.575880308996754,6.886436089964567,6.868534218818475,11.04361418901532,3.193931298686839,8.070864021258405
4.5,4.577612521107891,6.840687387140875,6.807697397972012,10.960326149191852,3.125360647010864,7.973609215830929
4.6,4.589696079709824,6.795977571029616,6.7603587582579,10.87760753058993,3.0668685805790212,7.877012679114523
4.7,4.611432182175075,6.752485582932952,6.7251767421988085,10.795702288097063,3.017542419543893,7.7812521487105215
4.8,4.642184710510343,6.7103749556235694,6.700895833732631,10.714827454038675,2.9765359319228537,7.686488368508773
4.9,4.681380231356501,6.669793813344686,6.6863465582124855,10.635173138178121,2.9430693335980656,7.592865088687638
5.0,4.728507995988588,6.630874871810052,6.680445482406712,10.556902527716693,2.9164292883164844,7.500509065714003
5.1,4.783091082680949,6.593739549172051,6.682178185611589,10.480155165153578,2.8959634994567978,7.4095307257212495
5.2,4.844638249560152,6.55849647066233,6.69058135831315,10.40504025724614,2.88109661493753,7.320015344411085
5.3,4.912714533424547,6.525234941168121,6.704768831731742,10.33163697569959,2.8713193835203277,7.232029284984343
5.4,4.986911769863908,6.49403711990946,6.723898307020326,10.260011074804552,2.8661522639280457,7.1456320661824195
5.5,5.066847303538328,6.464978314010191,6.747170400952149,10.190215213467992,2.865144788750152,7.06087654049459
5.6,5.152163988178226,6.43812697849797,6.773828645920751,10.122288955213206,2.867875564442729,6.97780889415799
5.7,5.242530186584343,6.413544716304265,6.803159489939959,10.056258768179822,2.8739522713284704,6.89646864715763
5.8,5.3376397706277405,6.391286278264353,6.834492296643893,9.99213802512381,2.883011663596683,6.816888653226391
5.9,5.437212121249809,6.371399563117324,6.86719934528696,9.929927003417466,2.894719569303289,6.739095099845018
6.0,5.5409809599073565,6.353927659281822,6.900695711807073,9.869614020684716,2.9087691663409263,6.663107949752348
6.1,5.648639103083605,6.338911185212264,6.934430910379629,9.811174608945677,2.92488623945731,6.5889369179108
6.2,5.7599351006948485,6.3263668059729286,6.967881570443399,9.754561379308784,2.9428452169671235,6.516576503650512
6.3,5.874632708692163,6.316306408614833,7.000558782117704,9.699720442633943,2.962437005371655,6.446018689891748
6.4,5.992500090916546,6.3087399758623235,7.032008698141196,9.646593370685595,2.983465494395245,6.377254167022964
6.5,6.113309819098915,6.30367558611308,7.061812533871861,9.59511719613272,3.0057475569852827,6.3102723329008175
6.6,6.236838872860114,6.301119413438109,7.089586567287017,9.545224412548839,3.0291130493122114,6.245061292850151
6.7,6.362868639710903,6.301075727581752,7.114982138983311,9.496842974412004,3.053404810769525,6.181607859664005
6.8,6.491184915051961,6.3035468939616806,7.137685652176724,9.449896297104813,3.0784786639737676,6.11989755360362
6.9,6.621577902173904,6.308533373668896,7.157418572702567,9.404303256914396,3.1042034147645374,6.059914602398418
7.0,6.753842209812942,6.31603372396723,7.17393742954161,9.359978191133438,3.1304608516432757,6.001641941337485
7.1,6.887735510226274,6.3260493473974035,7.187038083113382,9.3168317579579,3.157141257612778,5.945060546590144
7.2,7.0230634150357565,6.338556518828742,7.196522328884208,9.274766731464933,3.1841755573512684,5.8901405228115165
7.3,7.159687589570145,6.3535161900209705,7.202207336001992,9.233683315301885,3.2115186964065927,5.836848739954608
7.4,7.29746166330021,6.37089075165784,7.203943583555843,9.193483058340739,3.2391295480187376,5.785153577173939
7.5,7.43623122983873,6.390644033347127,7.201614860576072,9.154068854678107,3.26697091311983,5.7350249228255485
7.6,7.575833846940498,6.412741303620634,7.195138266034185,9.115344943635234,3.2950095203341374,5.68643417446699
7.7,7.716099036502323,6.437149269934189,7.184464208842895,9.077216909758002,3.323216025978068,5.639354238857337
7.8,7.856848284563012,6.4638360786676445,7.169576407856113,9.039591682816921,3.351565014060169,5.593759531957181
7.9,7.997895041303396,6.49277131512488,7.15049189186895,9.002377537807133,3.3800349962811307,5.549625978928625
8.0,8.13904472104632,6.523926003533802,7.127260999617719,8.965484094948417,3.4086084120337827,5.506931014135293
8.1,8.280094702256624,6.557272607046339,7.099967379779934,8.92882231968518,3.437271628403093,5.465653581142328
8.2,8.420831520483173,6.592784466245696,7.068721404299293,8.892304530981706,3.46601456038807,5.425773546949986
8.3,8.561072091515225,6.630414983109717,7.03359264834881,8.855847317950106,3.4948482655161155,5.387263854234941
8.4,8.70072944556066,6.670092851377762,6.994654540603363,8.819374526781969,3.523819001392597,5.350094376550932
8.5,8.839713930093932,6.711747897717391,6.952002557450493,8.782813997505407,3.5529739195393835,5.3142373749728185
8.6,8.977922043965545,6.75531277717232,6.9057498364018635,8.746097247703432,3.5823578244747885,5.279667405154926
8.7,9.11523643740206,6.800722973162428,6.856027176093247,8.709159472513955,3.6120131737135726,5.2463613173310435
8.8,9.251525912006095,6.847916797483752,6.802983036284534,8.671939544629788,3.641980077766942,5.214298256314418
8.9,9.386645420756306,6.896835390308483,6.746783537859733,8.634380014298642,3.6722963001425475,5.183459661497768
9.0,9.520436068007434,6.947422720184983,6.687612462826962,8.596427109323123,3.7029972573444896,5.153829266853266
9.1,9.652725109490246,6.999625584037764,6.625671254318458,8.55803073506074,3.7341160188733102,5.125393100932554
