t,V10,N10,m10,h10,V30,N30,m30,h30,V50,N50,m50,h50,V100,N100,m100,h100
2.7,83.8787685,0.6859161,0.994134503,0.19754673,43.20295838,0.772910117,0.934462539,0.091872659,34.0540582,0.777694344,0.876200096,0.079897268,27.42853037,0.781481346,0.802975902,0.072662585
2.8,78.72635296,0.704508875,0.99328024,0.178947254,38.92454238,0.774476617,0.911920095,0.086020624,29.86995191,0.776684816,0.837726803,0.076903893,23.44170403,0.778704158,0.7499907,0.071684177
2.9,73.56498299,0.720114904,0.991378546,0.162202324,34.67138503,0.774844316,0.882671446,0.081490746,25.52825403,0.774615708,0.788941429,0.075156735,19.26077173,0.775003947,0.685495328,0.071790572
3,68.46453262,0.733084147,0.988341917,0.147171211,30.36019694,0.774072479,0.845008793,0.078269682,20.89473175,0.771481991,0.727289358,0.074659759,14.87081245,0.770373566,0.608177805,0.072997328
3.1,63.46858154,0.743722166,0.983909254,0.133738654,25.86982524,0.772188161,0.796726169,0.076350551,15.84894277,0.767251483,0.649798973,0.075449077,10.39980537,0.764822767,0.518376238,0.07533768
3.2,58.60020017,0.75229148,0.977674132,0.12181471,21.04275663,0.769182376,0.734925666,0.075745004,10.39649376,0.761887503,0.554169508,0.077606756,6.197328268,0.758417805,0.42027102,0.07883233
3.3,53.86690629,0.759014924,0.969084054,0.111333964,15.72041926,0.76501262,0.656018762,0.076500855,4.873569982,0.755403125,0.442120876,0.081254996,2.762166115,0.751314614,0.323185777,0.083418943
3.4,49.26398814,0.764079787,0.957425908,0.102253382,9.867686871,0.759625465,0.556763884,0.078723955,0.047497122,0.747935997,0.324474023,0.086467385,0.442372694,0.743746687,0.238496958,0.088884283
3.5,44.77534619,0.767641737,0.941803743,0.094548125,3.834577987,0.75301836,0.438193639,0.082584559,-3.317015554,0.739772239,0.22007214,0.093078222,-0.801081482,0.735959853,0.173262099,0.09489964
3.6,40.37093378,0.769827657,0.921107788,0.088205353,-1.46879526,0.745332685,0.312538897,0.088218624,-5.128232033,0.731253327,0.1428053,0.100630808,-1.275204084,0.72814702,0.12765313,0.101147562
3.7,36.00015606,0.770736527,0.893963562,0.083217633,-5.108422763,0.736888131,0.202610164,0.095468371,-5.871695316,0.722647552,0.093075918,0.108619433,-1.299365197,0.720429107,0.097766153,0.107407169
3.8,31.58154208,0.770437666,0.858636274,0.079579348,-7.01202756,0.728066661,0.124434017,0.103797383,-6.055646282,0.714109527,0.063620733,0.116701795,-1.088090504,0.712871326,0.079030262,0.113554222
3.9,26.99093152,0.768966273,0.812856661,0.077289777,-7.789161192,0.719156157,0.076769987,0.112616232,-5.983359801,0.705712483,0.046946259,0.124703948,-0.758443969,0.705505887,0.067753852,0.119526934
4,22.0551534,0.766317789,0.753560274,0.076364475,-8.014015852,0.710312421,0.050109866,0.121546626,-5.797761605,0.697487559,0.037799268,0.132549437,-0.36827641,0.69834798,0.061352237,0.125296548
4.1,16.57322562,0.762446483,0.67669411,0.07685496,-8.000320583,0.701604539,0.035831895,0.130407497,-5.559985356,0.689447162,0.032973903,0.140206762,0.054854202,0.691404569,0.058124787,0.130850243
4.2,10.42603172,0.757282277,0.577849059,0.078878277,-7.885972184,0.693060076,0.028392205,0.139123172,-5.295454433,0.681595842,0.03061714,0.147663401,0.497764548,0.68467873,0.056982548,0.136182626
4.3,3.86819158,0.750790682,0.455935101,0.08264574,-7.726985669,0.684689206,0.024638496,0.147663665,-5.014827826,0.673934912,0.029680005,0.154914678,0.953906134,0.678171684,0.057235945,0.141291758
4.4,-2.143966261,0.743082647,0.321892925,0.088392398,-7.545770614,0.676495139,0.022860437,0.156017452,-4.722720895,0.666464343,0.029572862,0.161959193,1.41978683,0.671883736,0.058449913,0.146177327
4.5,-6.406964962,0.734483737,0.201940301,0.096060496,-7.351415416,0.668478315,0.022146213,0.164180394,-4.421251837,0.65918355,0.029964744,0.16879695,1.893341844,0.665814713,0.060350078,0.150839807
4.6,-8.67819249,0.725421272,0.117417737,0.105084832,-7.147710187,0.660638064,0.022012518,0.172151363,-4.111491241,0.652091721,0.030669835,0.175428588,2.373191384,0.659964166,0.062763327,0.15528005
4.7,-9.645057096,0.716226814,0.067809481,0.114760654,-6.936298099,0.652973277,0.022203462,0.179930491,-3.794065756,0.645187955,0.031583868,0.181855038,2.858300316,0.65433146,0.065580463,0.159499098
4.8,-9.990003461,0.70707733,0.041490232,0.124625894,-6.717932755,0.645482681,0.022583524,0.187518461,-3.469415591,0.638471321,0.032648573,0.188077382,3.347822319,0.648915829,0.068732764,0.163498074
4.9,-10.07659282,0.698048671,0.028174027,0.134463093,-6.492992722,0.638164954,0.023080974,0.194916206,-3.13790751,0.631940882,0.03383175,0.194096784,3.841030479,0.643716388,0.072177258,0.167278126
5,-10.05882597,0.689169917,0.021598933,0.144183595,-6.261698586,0.631018775,0.023658001,0.202124785,-2.799885464,0.625595703,0.035116066,0.199914453,4.337289611,0.638732155,0.075887438,0.170840395
5.1,-9.997363707,0.680451248,0.018419001,0.153753052,-6.024207577,0.624042843,0.024294913,0.209145316,-2.455693541,0.619434852,0.036492712,0.205531627,4.836049251,0.633962054,0.079847385,0.174185986
5.2,-9.915938782,0.671895481,0.016932322,0.163158541,-5.780656252,0.617235889,0.024981749,0.215978957,-2.105686141,0.613457394,0.037957788,0.210949564,5.336847577,0.629404928,0.084048064,0.177315949
5.3,-9.824011972,0.663502557,0.016289497,0.172395566,-5.531180405,0.61059667,0.025713807,0.22262689,-1.750231813,0.607662392,0.039510233,0.216169534,5.839320992,0.62505955,0.088484989,0.180231263
5.4,-9.725456758,0.655271283,0.016069596,0.181463012,-5.275924623,0.604123979,0.026489246,0.229090312,-1.389713789,0.602048894,0.041150619,0.221192815,6.343217213,0.620924644,0.093156781,0.182932808
5.5,-9.621900935,0.647200017,0.016064486,0.190361157,-5.015046942,0.597816633,0.027307794,0.235370436,-1.024528641,0.596615932,0.042880449,0.226020687,6.848410331,0.616998902,0.098064313,0.18542135
5.6,-9.514042048,0.639286953,0.016171288,0.199090871,-4.748721055,0.591673474,0.028170042,0.241468487,-0.655083708,0.591362514,0.044701736,0.230654432,7.354917374,0.613281012,0.103210253,0.187697506
5.7,-9.402180897,0.631530237,0.016339157,0.207653277,-4.477137211,0.585693365,0.029077063,0.247385701,-0.281793627,0.586287619,0.046616753,0.235095329,7.862916241,0.609769694,0.108598885,0.189761715
5.8,-9.286445158,0.623928018,0.016543001,0.216049612,-4.200502343,0.579875185,0.03003019,0.25312332,0.09492384,0.581390188,0.048627875,0.23934465,8.37276518,0.606463741,0.114236133,0.191614199
5.9,-9.166886285,0.616478471,0.016770506,0.224281157,-3.919039672,0.574217828,0.031030899,0.258682598,0.474652523,0.576669124,0.050737491,0.243403658,8.885024382,0.603362064,0.120129743,0.193254912
6,-9.043523116,0.609179805,0.017015714,0.232349212,-3.632987994,0.568720191,0.032080735,0.264064796,0.856983071,0.572123285,0.05294794,0.247273604,9.400480606,0.600463753,0.126289604,0.194683481
6.1,-8.916362118,0.60203027,0.017275843,0.240255085,-3.342600658,0.563381179,0.033181267,0.269271179,1.241518635,0.567751482,0.055261481,0.250955723,9.920176218,0.597768143,0.132728193,0.195899139
6.2,-8.785407095,0.595028153,0.017549705,0.248000081,-3.048144235,0.558199693,0.034334062,0.274303019,1.627880879,0.563552478,0.057680277,0.254451228,10.44544455,0.595274896,0.139461151,0.196900632
6.3,-8.650664262,0.588171782,0.017836915,0.255585503,-2.749896969,0.553174628,0.035540661,0.279161591,2.015716324,0.559524985,0.060206399,0.257761309,10.97795419,0.59298409,0.146508005,0.197686122
6.4,-8.512144665,0.581459524,0.018137498,0.263012651,-2.448147056,0.548304871,0.036802567,0.283848176,2.40470295,0.555667669,0.062841835,0.260887125,11.5197658,0.590896337,0.153893065,0.198253049
6.5,-8.369865757,0.574889785,0.018451688,0.270282822,-2.1431906,0.543589293,0.03812123,0.288364053,2.794556997,0.551979154,0.065588515,0.263829796,12.07340609,0.589012915,0.161646539,0.198597978
6.6,-8.223852152,0.568461004,0.01877983,0.27739731,-1.835329445,0.539026747,0.039498039,0.292710504,3.185039942,0.548458024,0.068448351,0.266590398,12.64196578,0.58733593,0.169805934,0.198716394
6.7,-8.074136093,0.562171656,0.019122323,0.284357408,-1.524868809,0.534616064,0.040934313,0.29688881,3.575965638,0.545102832,0.071423289,0.269169951,13.2292301,0.585868527,0.178417844,0.198602453
6.8,-7.920757858,0.55602025,0.019479599,0.291164405,-1.212114672,0.53035605,0.042431294,0.300900249,3.967207621,0.541912112,0.074515369,0.271569407,13.83985467,0.584615141,0.187540236,0.198248663
6.9,-7.763765845,0.550005322,0.019852107,0.297819592,-0.897371113,0.526245483,0.043990144,0.304746097,4.358706568,0.538884392,0.077726813,0.273789637,14.47960402,0.58358183,0.197245452,0.197645465
7,-7.603216675,0.544125441,0.020240301,0.304324259,-0.580937413,0.522283109,0.04561194,0.308427626,4.750478142,0.536018205,0.081060111,0.275831414,15.15567788,0.582776701,0.207624161,0.196780697
7.1,-7.439175259,0.538379201,0.020644641,0.310679696,-0.263105087,0.518467643,0.047297675,0.311946099,5.142621191,0.533312115,0.084518143,0.277695391,15.8771609,0.582210476,0.218790641,0.195638879
7.2,-7.271714736,0.532765223,0.021065587,0.316887193,0.05584516,0.514797767,0.049048258,0.315302773,5.535326669,0.530764731,0.088104312,0.279382077,16.65564746,0.581897248,0.230889915,0.194200263
7.3,-7.100916358,0.527282149,0.021503597,0.322948044,0.375646603,0.511272129,0.050864525,0.318498893,5.9288875,0.52837474,0.091822694,0.280891808,17.50611562,0.581855513,0.24410745,0.192439554
7.4,-6.926869348,0.521928644,0.021959122,0.32886354,0.69604965,0.507889344,0.05274724,0.321535691,6.323709937,0.52614093,0.095678229,0.282224713,18.44815581,0.582109582,0.258682437,0.190324182
7.5,-6.749670721,0.516703391,0.02243261,0.334634978,1.016825044,0.504647997,0.054697111,0.324414383,6.720326768,0.524062228,0.099676932,0.283380671,19.50769992,0.582691563,0.274925949,0.187811961
7.6,-6.569425027,0.511605092,0.022924498,0.340263653,1.337767087,0.501546641,0.056714806,0.327136163,7.119413552,0.522137739,0.103826147,0.284359265,20.71943744,0.583644123,0.29324559,0.184847979
7.7,-6.386244056,0.506632464,0.023435215,0.345750864,1.658696795,0.498583807,0.058800972,0.329702204,7.521808437,0.520366791,0.10813485,0.285159714,22.13011561,0.58502439,0.314178135,0.181360584
7.8,-6.200246492,0.501784237,0.023965177,0.35109791,1.979465109,0.495758002,0.060956261,0.332113645,7.928537239,0.51874899,0.112614014,0.285780811,23.80279855,0.586909382,0.338430296,0.177256702
7.9,-6.011557529,0.497059152,0.024514785,0.356306093,2.299956027,0.49306772,0.063181356,0.334371593,8.340845701,0.517284282,0.11727705,0.286220829,25.82163417,0.589403338,0.366922681,0.172417744
8,-5.820308433,0.49245596,0.025084426,0.361376716,2.620089766,0.490511446,0.065477008,0.336477108,8.760241021,0.515973036,0.12214036,0.286477414,28.29505787,0.592646831,0.400817752,0.166700153
8.1,-5.626636075,0.487973421,0.025674467,0.366311081,2.939825961,0.488087663,0.067844076,0.338431201,9.188546324,0.514816129,0.127224029,0.28654745,31.3512756,0.596825782,0.441478296,0.15995074
8.2,-5.430682414,0.483610298,0.026285257,0.371110495,3.259166919,0.485794865,0.070283569,0.34023482,9.627972927,0.513815069,0.132552699,0.286426892,35.11157039,0.602173743,0.490236776,0.152055262
8.3,-5.232593952,0.47936536,0.026917121,0.375776262,3.578161024,0.483631563,0.072796703,0.34188884,10.0812166,0.512972137,0.138156708,0.286110548,39.61669671,0.608951351,0.547780859,0.143034168
8.4,-5.03252115,0.475237378,0.027570363,0.380309689,3.896906382,0.481596302,0.075384952,0.34339405,10.55158742,0.512290572,0.144073576,0.285591804,44.68955726,0.617376479,0.613043722,0.133145185
8.5,-4.830617815,0.471225123,0.028245259,0.384712082,4.215554834,0.479687669,0.078050124,0.344751136,11.04318753,0.511774809,0.150349981,0.284862258,49.79241848,0.627490388,0.682083049,0.122869849
8.6,-4.627040465,0.467327364,0.028942059,0.388984748,4.534316482,0.477904314,0.080794427,0.345960662,11.56115627,0.511430797,0.157044433,0.28391124,54.07409903,0.639013411,0.748365934,0.112731761
8.7,-4.421947668,0.463542869,0.029660985,0.393128993,4.853464944,0.476244963,0.083620563,0.347023052,12.11201409,0.511266416,0.164230929,0.282725159,56.74807263,0.651326333,0.80531966,0.103112994
8.8,-4.215499365,0.459870401,0.030402226,0.397146122,5.173343609,0.474708439,0.086531824,0.347938565,12.70415259,0.511292054,0.172004046,0.281286611,57.51457536,0.663648775,0.849235303,0.09421764
8.9,-4.007856181,0.456308718,0.031165943,0.401037441,5.494373198,0.473293681,0.089532206,0.348707263,13.34854381,0.5115214,0.180486166,0.279573122,56.59502872,0.675284622,0.879855288,0.086130238
9,-3.799178727,0.452856572,0.031952263,0.404804254,5.817061079,0.471999774,0.092626549,0.349328979,14.0597887,0.511972575,0.189837885,0.277555364,54.45225285,0.685759323,0.898897882,0.078876729
9.1,-3.589626904,0.449512705,0.03276128,0.408447864,6.142012866,0.470825972,0.095820692,0.34980328,14.85769736,0.512669765,0.200273323,0.275194541,51.53950647,0.694822669,0.908445861,0.072460128
9.2,-3.379359197,0.446275852,0.033593054,0.411969572,6.469947008,0.469771736,0.099121669,0.350129416,15.76972616,0.513645644,0.21208311,0.272438482,48.20150545,0.702389211,0.910120139,0.066876629
9.3,-3.168531993,0.44314474,0.034447613,0.415370677,6.801713294,0.468836769,0.102537941,0.350306262,16.83482578,0.514945066,0.225669586,0.269215659,44.66979712,0.708474887,0.904888615,0.062120695
9.4,-2.957298892,0.440118083,0.035324948,0.418652478,7.138316497,0.468021062,0.106079684,0.350332253,18.10966111,0.516630839,0.241601854,0.265425802,41.08712352,0.713150003,0.893155803,0.058184583
9.5,-2.745810045,0.437194588,0.036225018,0.42181627,7.480946782,0.467324953,0.109759144,0.350205296,19.67888353,0.518793022,0.260703349,0.260924886,37.53198911,0.716508713,0.874920948,0.055056015
9.6,-2.534211512,0.434372948,0.037147751,0.424863346,7.831019087,0.46674919,0.113591083,0.349922669,21.67233292,0.521564317,0.284192404,0.255501048,34.03670762,0.718650103,0.849920299,0.052716928
9.7,-2.322644657,0.431651847,0.038093041,0.427794998,8.190224558,0.466295014,0.117593359,0.349480884,24.29366314,0.525146101,0.313904855,0.248837553,30.60026608,0.719666693,0.817731158,0.051145111
9.8,-2.111245554,0.429029959,0.039060753,0.430612511,8.560598292,0.465964269,0.121787651,0.348875531,27.8651347,0.529852439,0.352621322,0.240466386,27.19925137,0.719637921,0.777844983,0.050318757
9.9,-1.900144423,0.426505945,0.040050719,0.433317171,8.94460947,0.465759522,0.126200429,0.348101059,32.88210313,0.536180268,0.404423094,0.229761434,23.80007227,0.718627778,0.729741359,0.050222294
10,-1.689465151,0.424078457,0.041062752,0.435910257,9.345282569,0.465684244,0.130864214,0.347150506,40.00787988,0.544895781,0.474530576,0.21616981,20.37558332,0.716686805,0.673024374,0.050851181
10.1,-1.479324793,0.421746138,0.042096637,0.438393046,9.766362432,0.465743019,0.135819285,0.346015141,49.7305999,0.557031642,0.566710272,0.199951007,16.92876083,0.713859305,0.607711701,0.052213312
10.2,-1.269833104,0.419507622,0.043152132,0.440766809,10.21254219,0.465941843,0.141115979,0.344683982,61.18391267,0.573464397,0.675662907,0.182647972,13.52209802,0.710196341,0.534754114,0.054324237
10.3,-1.061092253,0.417361533,0.044228987,0.443032812,10.689783,0.466288509,0.146817879,0.343143144,71.04746561,0.593860081,0.781270706,0.165905455,10.29917313,0.705772689,0.456705159,0.057192673
10.4,-0.853196392,0.415306491,0.045326929,0.445192316,11.20577022,0.466793147,0.153006271,0.341374947,76.07079918,0.616180646,0.8622892,0.150440114,7.46862624,0.70070098,0.378074482,0.060795055
10.5,-0.646231371,0.413341109,0.046445675,0.447246574,11.77057737,0.467468969,0.159786515,0.33935664,76.37868256,0.63800662,0.914036884,0.136376618,5.229608963,0.695132368,0.304608811,0.065048774
10.6,-0.440274523,0.411463995,0.047584936,0.449196832,12.39765266,0.468333332,0.167297336,0.337058585,73.83247468,0.657849516,0.943666885,0.1236659,3.676075661,0.689238174,0.241393249,0.069806713
10.7,-0.235394446,0.409673754,0.048744418,0.451044327,13.10532124,0.469409292,0.175724632,0.334441556,69.87064973,0.675145503,0.959257037,0.112227029,2.761371091,0.68318113,0.191064035,0.074886135
10.8,-0.031650819,0.407968991,0.049923828,0.452790289,13.9191347,0.470727926,0.185322572,0.331452643,65.2751922,0.689820891,0.966121982,0.101983962,2.347454128,0.677093022,0.153517266,0.080113029
