t,V,N,m,h
0.0,0.0,0.3176769140606974,0.05293248525724958,0.5961207535084603
0.1,2.907988657315931,0.31810060803270856,0.05639058885699839,0.595492951461593
0.2,5.667690350553179,0.3193832254084541,0.06545324903676525,0.5935464223807039
0.3,8.341688017674684,0.32154747969641606,0.07911829936514422,0.5901498211135032
0.4,11.02632247302303,0.324634212462256,0.09718912672095664,0.5851068635362002
0.5,13.88591055805215,0.3287286747278312,0.12013613883986092,0.5781014303468709
0.6,17.21453862613776,0.3340126254378194,0.14937921870647192,0.5685648217900026
0.7,21.57384958399133,0.34087342668520415,0.18813443921799974,0.5553697421219185
0.8,28.141273947848546,0.3501602711956335,0.243468967796725,0.5361546515150282
0.9,39.60314302768354,0.36384363253601354,0.3310469620465007,0.5066049202205337
1.0,61.37104422765364,0.38645913231728257,0.479836290218348,0.465236086589457
1.1,92.0676869879588,0.42433964778499467,0.6889837362443877,0.42160472139915467
1.2,106.19982405880931,0.472950517047286,0.8539615945805151,0.3815436144808155
1.3,106.37323942076324,0.5199897533422715,0.9348674141484756,0.3452714080188807
1.4,103.82580116827401,0.5618482896659746,0.9700290789472026,0.3124547539009899
1.5,100.30760357782454,0.5984789784741704,0.9851921100339178,0.2827701335395468
1.6,96.12395143798922,0.6302473620631814,0.9916680335128488,0.25592487736701663
1.7,91.4764466565685,0.6575929616364791,0.9942193853315135,0.23165628237129274
1.8,86.53772518876544,0.680971045388274,0.9948211090413479,0.2097298840988411
1.9,81.45001834254676,0.7008228111294732,0.9942496703903714,0.18993809855317118
2.0,76.32295108171924,0.7175573964468785,0.992741306801642,0.17209929745914643
2.1,71.2352569977881,0.7315424516496306,0.9902608408931804,0.15605726582337254
2.2,66.2390572445155,0.7431008706914879,0.98660708888565,0.14168091753503334
2.3,61.36508327636001,0.75251154707653,0.9814482686765702,0.12886404080342548
2.4,56.62768102711101,0.7600124557777408,0.9743263835481408,0.11752469020406546
2.5,52.028783525632264,0.765804809944479,0.964647497732918,0.10760365495477692
2.6,47.56012799227018,0.7700573671713701,0.9516656084529838,0.0990613370942535
2.7,43.202958378449665,0.7729101167109513,0.9344625385315972,0.09187265917555315
2.8,38.92454237636337,0.7744766171681711,0.9119200949197822,0.08602062352991482
2.9,34.67138502855375,0.7748443155921876,0.8826714463686063,0.08149074552213985
3.0,30.36019693506899,0.7740724793733795,0.8450087925460448,0.0782696821221747
3.1,25.869825237809984,0.7721881614544216,0.7967261686484632,0.07635055101302637
3.2,21.042756625189238,0.7691823762575491,0.7349256662039589,0.07574500449886003
3.3,15.720419261316017,0.7650126195513485,0.6560187616063305,0.0765008553467824
3.4,9.867686870767471,0.7596254650059489,0.5567638836685199,0.07872395482200376
3.5,3.8345779872152996,0.7530183595850469,0.43819363882823564,0.0825845585115033
3.6,-1.4687952602035228,0.7453326847012457,0.3125388973147209,0.08821862402809996
3.7,-5.108422762650288,0.7368881311527048,0.20261016449425048,0.09546837081500857
3.8,-7.0120275604847055,0.7280666606749736,0.12443401689851279,0.10379738303662735
3.9,-7.789161192155734,0.7191561574713256,0.0767699868083753,0.11261623157960342
4.0,-8.014015852476021,0.7103124212926342,0.05010986556142711,0.12154662576553309
4.1,-8.000320583178627,0.7016045394047717,0.035831895409197526,0.1304074974818721
4.2,-7.885972183579845,0.6930600761291285,0.02839220512569379,0.13912317179332118
4.3,-7.726985669021991,0.684689205806402,0.02463849576429867,0.1476636647261762
4.4,-7.545770613974262,0.676495139215371,0.022860437271623336,0.1560174515658317
4.5,-7.351415415763332,0.6684783150645487,0.02214621263696259,0.16418039445383165
4.6,-7.147710187248,0.6606380638516319,0.022012517540953506,0.17215136348686452
4.7,-6.936298099165371,0.6529732767727403,0.022203461985221575,0.1799304912219141
4.8,-6.717932755166152,0.6454826807112622,0.022583523898291265,0.18751846068328817
4.9,-6.49299272230369,0.6381649538202223,0.023080973505905995,0.19491620639594426
5.0,-6.2616985860387695,0.6310187747563275,0.023658000523213898,0.20212478476896886
5.1,-6.024207576805583,0.6240428433615339,0.024294912823696765,0.20914531602346279
5.2,-5.780656251994965,0.6172358885885242,0.02498174920522132,0.21597895728838823
5.3,-5.531180404817042,0.6105966704819008,0.02571380734920027,0.2226268896750137
5.4,-5.275924622847373,0.6041239792491288,0.026489246483863162,0.22909031178026093
5.5,-5.015046942313645,0.597816632820445,0.02730779402600207,0.23537043619894238
5.6,-4.7487210554244115,0.591673473569125,0.028170042366235985,0.24146848744988386
5.7,-4.47713721077919,0.5856933645307854,0.02907706264942962,0.24738570055350426
5.8,-4.200502342544594,0.5798751853008154,0.030030189580964067,0.25312331989823267
5.9,-3.9190396720085077,0.5742178277056039,0.03103089865325142,0.2586825982405887
6.0,-3.632987993898181,0.5687201913692191,0.03208073451335531,0.2640647956724067
6.1,-3.342600658280049,0.5633811792095813,0.03318126707045296,0.2692711785701956
6.2,-3.048144235349547,0.5581996928855478,0.034334062210744226,0.2743030185723541
6.3,-2.7498969693426503,0.5531746283028762,0.03554066142222549,0.2791615914927638
6.4,-2.448147055675163,0.5483048712612623,0.03680256719979856,0.2838481761378513
6.5,-2.143190600430163,0.5435892931944275,0.03812123010714085,0.2883640532113845
6.6,-1.8353294448072695,0.5390267471911083,0.03949803893688047,0.2927105041037754
6.7,-1.524868808605182,0.5346160643335394,0.04093431292085288,0.2968888096145676
6.8,-1.2121146723133236,0.5303560503417811,0.04243129426153743,0.30090024872605475
6.9,-0.8973711128265249,0.526245482769631,0.0439901442660574,0.30474609713367684
7.0,-0.5809374126099095,0.5222831086588999,0.045611940135549464,0.30842762576416194
7.1,-0.2631050872154339,0.5184676428339279,0.04729767456085149,0.3119460990715937
7.2,0.055845159922974105,0.5147977669090252,0.04904825833702554,0.31530277305921867
7.3,0.3756466028571332,0.5112721290048348,0.05086452498715168,0.31849889307518586
7.4,0.6960496497741236,0.507889344354615,0.05274723955392624,0.3215356911347913
7.5,1.0168250443505287,0.504647996790277,0.054697110611262305,0.3244143827926296
7.6,1.337767087191039,0.501546641164871,0.05671480575310067,0.32713616346729374
7.7,1.658696794911294,0.4985838068600417,0.05880097228753276,0.32970220397248823
7.8,1.9794651087914623,0.49575800227108757,0.06095626097467534,0.3321136453616482
7.9,2.2999560273922754,0.49306772049250225,0.06318135579779768,0.33437159270078987
8.0,2.6200897657932596,0.49051144612398495,0.06547700815589748,0.3364771078042523
8.1,2.9398259610033253,0.4880876632583781,0.06784407598655036,0.3384312007540265
8.2,3.2591669192700867,0.4857948647834257,0.07028356949233537,0.3402348199112983
8.3,3.578161023782312,0.4836315629837136,0.07279670277567979,0.3418888403265172
8.4,3.8969063822348353,0.48159630154744004,0.07538495238182631,0.3433940502795505
8.5,4.215554834452838,0.47968766909831084,0.07805012378947912,0.3447511356534192
8.6,4.534316481746596,0.47790431440178605,0.0807944270570157,0.34596066179793533
8.7,4.853464944398844,0.4762449634496524,0.08362056325534757,0.347023052456286
8.8,5.173343609069514,0.4747084386997808,0.08653182388912643,0.3479385652169795
8.9,5.494373197597233,0.47329368084329565,0.08953220627700413,0.3487072628079672
9.0,5.817061078807633,0.4719997735957457,0.09262654886155193,0.34932897935792545
9.1,6.142012866098061,0.4708259721710499,0.0958206916555083,0.34980328049569587
9.2,6.46994700766589,0.4697717363086948,0.09912166863003224,0.3501294158223495
9.3,6.801713294209579,0.46883676900312765,0.1025379411048607,0.3503062618430619
9.4,7.138316497470585,0.4680210624471231,0.10607968426552875,0.3503322528570823
9.5,7.480946781699234,0.46732495324979983,0.10975914352264853,0.35020529640766807
9.6,7.831019087446128,0.4667491896652784,0.11359108343894911,0.34992266876938355
9.7,8.190224557826923,0.46629501447594185,0.11759335893087731,0.3494808844249611
9.8,8.560598291749361,0.4659642685879505,0.1217876513156598,0.34887553110747377
9.9,8.944609469520609,0.4657595222746289,0.12620042853601585,0.34810105877937975
10.0,9.345282568982093,0.465684243782798,0.13086421384710342,0.3471505061437588
10.1,9.766362432189304,0.46574301909482807,0.13581928457084935,0.3460151412057822
10.2,10.212542190173368,0.4659418427520243,0.1411159792519479,0.34468398168172865
10.3,10.68978299802938,0.4662885090398485,0.1468178794881458,0.3431431443884087
10.4,11.20577022429958,0.4667931472793361,0.15300627062329591,0.34137494678363844
10.5,11.770577370245578,0.4674689689442243,0.15978651531521634,0.33935664023747475
10.6,12.397652658536792,0.4683333317992714,0.16729733608845668,0.3370585851832127
10.7,13.105321238919112,0.4694092915194653,0.17572463223029333,0.3344415558094658
10.8,13.919134695008951,0.4707279260012939,0.18532257188000328,0.331452643243694
10.9,14.875651128300072,0.47233191700614446,0.19644660986583784,0.3280188394248022
11.0,16.028722082632207,0.4742812605500069,0.20960671913663403,0.3240366297495054
11.1,17.46030182415593,0.476662707223769,0.22555576471567043,0.31935450687128214
11.2,19.2996900056354,0.4796060197992859,0.24544064535328103,0.3137425721494336
11.3,21.758799091496144,0.4833131625787996,0.27106677832585985,0.3068386981460794
11.4,25.197426624708285,0.48811266376856943,0.30536162890203733,0.298056715764175
11.5,30.237687029361947,0.49456200040920884,0.3531318668503756,0.2864685018586823
11.6,37.9104173011034,0.5036259140572761,0.4218971586754278,0.2708877013755548
11.7,49.52299595466833,0.5168709866792794,0.5205894828017866,0.25097820551189715
11.8,64.92379390067218,0.5361318997327391,0.648676073626166,0.2289412973552066
11.9,78.94042331020998,0.5615560823169825,0.7782320058733359,0.2076157203346353
12.0,85.4691827776832,0.5899366405118532,0.8734371768004956,0.1880394390462106
12.1,85.51072317450748,0.61742693885634,0.9289373776061537,0.1702833462277919
12.2,82.42464416136102,0.6421230652178953,0.9580217258989668,0.15423082051151918
12.3,78.0047735396877,0.6635406229512274,0.9724113937652571,0.139748471396375
12.4,73.01501672626392,0.6817436725068653,0.9787162800197887,0.12671572100345865
12.5,67.82581406798624,0.6969766989417938,0.98015357197362,0.1150313832309602
12.6,62.63624738297438,0.7095324160006374,0.9780979773611148,0.10461561916554478
12.7,57.55273204875108,0.7196995182901328,0.9729356039973581,0.09541027122460435
12.8,52.62636603404178,0.7277415168136117,0.9644829801593017,0.08737766776269398
12.9,47.87381917386318,0.7338895485849225,0.9521852163576112,0.0804973148897907
13.0,43.288120250941724,0.7383413568457105,0.9352087475583916,0.07476013715614765
13.1,38.84167480442803,0.7412621594604623,0.9124810724846414,0.07016118247720472
13.2,34.48346039687955,0.7427849300313369,0.882691470540318,0.06669364587766036
13.3,30.133337595737782,0.7430090030284014,0.8442441844744092,0.06434812711842684
13.4,25.678122164324243,0.7419974308176635,0.7951565905426864,0.06311955539571192
13.5,20.97783684541416,0.7397755380976759,0.7329489051729737,0.06302103819930463
13.6,15.90111884921996,0.7363364029375936,0.6547545013753119,0.06410203558869944
13.7,10.427026991719394,0.7316640102295696,0.5583308195163764,0.06646692273096096
13.8,4.835147158455811,0.7257860708529537,0.44521062596199584,0.07027513129073285
13.9,-0.17467523041390431,0.7188459559415984,0.32571036253522956,0.07566086894602923
