t,m1,p1,m2,p2,m3,p3
0.0,0.2,0.1,0.3,0.1,0.4,0.5
0.1,21.958243902797904,0.3771459656156891,27.549660380322074,0.40936902971621075,29.142131504455907,0.7727670483109226
0.2,34.94845091981232,0.981835446285284,45.26168612525948,1.1673946571407412,42.84973129909953,1.5390327117617646
0.3,36.767059275793706,1.7160574547071927,51.84709323460594,2.109267006142432,46.7741487917365,2.3983559999737354
0.4,36.06677000336584,2.4383747971295877,53.06224059662945,3.0752289493332836,46.3547966058728,3.2634535402670197
0.5,34.343814393542644,3.1098022652416746,51.70706555242755,4.0244342200737515,43.83190118062689,4.137999968310232
0.6,32.99131812342868,3.7134468418308755,49.385414201579316,4.922022048841309,39.99611377455361,4.916023359767232
0.7,29.842727967241764,4.278620675866118,46.32526361591041,5.776857191709389,38.0739492275795,5.618283018985042
0.8,27.2121747228025,4.76517605429516,43.92154357566172,6.58075012935639,35.31450258470789,6.251630914603092
0.9,23.577485162525125,5.166567729447307,39.43712875528184,7.253336098261432,32.67402559246027,6.796863269154653
1.0,22.295439449091692,5.520786410724139,36.27218308278583,7.84548489895277,31.632483831897797,7.3361683382978615
1.1,19.35012880495142,5.796375438479658,33.589810694068376,8.414108470836732,29.849515795989472,7.839227693610818
1.2,20.062466922804614,6.078983120726473,31.29820144569669,8.905502859789955,26.700592083263068,8.262156611535563
1.3,19.480207305665918,6.33082587525128,28.427998471537563,9.316768224417368,24.979241563027475,8.630815481086236
1.4,17.082949874966467,6.550664474450776,25.97749071802555,9.639292087740369,22.09681537053519,8.915609886728895
1.5,15.748669399477297,6.7901105097218055,24.342156866678284,9.952456322890471,21.201521046057607,9.18537365549735
1.6,14.612235292957322,6.969582599932224,20.8773322650393,10.156387363263143,19.218443102835458,9.399559914083655
1.7,14.221735195058859,7.1467225845117905,17.888893434585118,10.351189322166764,17.140827594651565,9.567633874780183
1.8,14.671456185829536,7.2834184902495815,14.97212684910754,10.471316628545148,17.19346543628363,9.72117362511692
1.9,13.822119875720919,7.393277165620776,13.277071551500594,10.570885441207142,15.720110316331118,9.850619585279011
2.0,11.998784288602911,7.530266911865814,11.8671615211749,10.605203564594246,13.553184617154418,9.949281542531862
2.1,11.16673935017962,7.632859734265896,10.84577170222734,10.597282067785104,12.024596400456309,9.938045641585385
2.2,10.501851061734538,7.704796153453065,10.66202684411048,10.575083225284484,11.570379315337236,9.994478960427498
2.3,9.192684603798414,7.750296860065322,9.87260603580421,10.516926150410352,11.422522549514756,10.038667048876897
2.4,10.1151346111002,7.765214725465756,9.136167834227075,10.504070357953687,10.785586654673741,10.073282168368987
2.5,10.384030341122486,7.768659907409279,10.326163562218484,10.499592303028313,8.195400336307078,10.013186596839796
2.6,10.245848772984667,7.853848365674016,8.711010628942237,10.460758494120372,8.818257047729414,9.996162667313524
2.7,9.780408358085177,7.887145496822125,8.248113785442078,10.428651576151314,8.603823217789802,9.996586642066024
2.8,9.235880931674641,7.936260887758229,7.15026504150561,10.354416348685573,8.126574756466203,10.026204372812138
2.9,8.884282984396187,7.928513515849158,7.968846527237516,10.307742969917728,7.457941507581687,10.029769961599582
3.0,6.969755786335646,7.902611700573226,6.931292033158825,10.234573594980445,7.710068568349828,10.006334259290815
3.1,6.389688900542603,7.88446814011395,7.480169892685555,10.10002752611814,8.480346663291462,9.95874833017978
3.2,5.7124858381174315,7.819398732995966,8.113313111334644,10.039535285777339,6.875985908910363,9.963578315301097
3.3,4.9300114035268425,7.8006221475799835,9.344397541489442,10.085774361445168,6.306501898008875,9.869464460708793
3.4,5.896231999727766,7.743610538637166,8.91086959961499,10.089173636803789,5.023183849379133,9.77248911041621
3.5,6.366206029927674,7.684341430178915,10.575045903872555,10.043117523886782,5.4778504946979965,9.697537745557655
3.6,5.786690901177864,7.703262120077991,9.404531831235705,10.036674145410107,6.265669193947413,9.623627441589694
3.7,5.081742817424518,7.621423290090604,9.368163793438592,10.021791323156467,4.940978815026563,9.541019880078748
3.8,3.334621845223372,7.5704566366425725,7.818449989669163,9.968587984128607,5.3389948363282365,9.393003447019314
3.9,2.554024072045489,7.485586984207699,8.600906826788515,9.93695469938506,4.950901241069262,9.29969191872393
4.0,3.542187638515276,7.42207413373751,5.543401444225559,9.868451943194362,5.813572982818665,9.21619949520466
4.1,4.814152617699639,7.33965436883158,4.3353501171043005,9.794510786260767,5.0603668166623255,9.186754156202603
4.2,5.909538969156927,7.366921624282611,4.407591288727626,9.710138370963564,5.884875623945201,9.111653893482769
4.3,4.3010605276729175,7.326542585817332,5.867944117245915,9.600162354893506,5.680122412156668,9.046875110687305
4.4,3.6873511294043526,7.251909205580763,4.8843284287427435,9.495201830546451,7.493971873857599,9.007842451531975
4.5,3.541336215643119,7.1834861810812995,4.110117322691173,9.378427281573158,7.866029126179651,8.963284319013079
4.6,3.7446553539469907,7.078828790928751,5.700188091384072,9.229057669403904,7.266693010865995,8.94684262794566
4.7,3.0147017463167525,7.03565653747168,5.385114298218062,9.189109307441683,6.673268482235256,8.976489218713567
4.8,3.726841195181679,6.914796653410999,3.181898006483666,9.110836129518407,6.713603264281801,8.912865334515576
4.9,4.522161181762752,6.847791311663069,4.596349443514978,8.992270912068395,8.387254249551738,8.89864285369145
5.0,4.290007022715805,6.882816054110122,2.652713906665481,8.957933158699348,6.974772468491007,8.79917670685082
5.1,3.6136048548225648,6.800623596416861,2.3672522868535957,8.845565772046166,6.126303984653739,8.766118553106402
5.2,3.463018781831868,6.7349765320724,3.6903486914615966,8.711142433313226,5.8067640370390174,8.73948983463848
5.3,3.8495458006623062,6.672454057177105,3.799445597836369,8.590695259179121,4.908191914454856,8.677303655323227
5.4,3.475198572266595,6.580263007647341,4.999480711331698,8.50505258589761,4.336602060357419,8.593556182429639
5.5,5.251947361579655,6.548951552616071,4.381616417517484,8.45279132847586,3.803228466996689,8.443120070210165
5.6,5.163031901627224,6.605087699633873,3.064922193716444,8.366642071826792,3.6952221554288918,8.400696144418875
5.7,5.735328465136334,6.644155190674517,2.6893288230279286,8.254261763606994,3.174366565968575,8.292549871072563
5.8,4.871119585325127,6.652904421836612,1.7522507484316034,8.194563913360946,3.394467882779884,8.198786389196698
5.9,4.763593691738778,6.620767285344111,3.64127454555511,8.145262961246694,3.404053540845137,8.094620409784213
6.0,1.8326735900034123,6.505855933599945,4.894015710108405,8.06112744618633,3.434378604838036,8.018335774792114
6.1,2.213476939642243,6.447127064953858,6.211211776501526,8.000507821407243,2.749636011020372,7.9251784276434245
6.2,3.743983314832644,6.398541378842345,6.748883153343516,7.929662800985133,3.4000007436212036,7.822539237107551
6.3,3.9922663997924523,6.368092784376265,6.601543025843959,7.8674354892950955,3.658683279337987,7.761627756879519
6.4,5.09104446329626,6.372141915647581,7.275128181705003,7.935441174033091,2.957900355433411,7.686078041121251
6.5,5.336854446699629,6.337418607226777,7.228706170350926,7.916232069195706,3.4433727347915104,7.531100273698722
6.6,5.5027416043306125,6.3176406260050815,5.6144402248573675,7.870245604116373,4.557794330370625,7.419303076482828
6.7,5.406653013096104,6.27356885890911,5.520693560432007,7.84068491916005,4.717717114243097,7.3348892436132225
6.8,5.2918332068486675,6.237901291083262,5.019862504968176,7.8168169225690995,4.502959560211666,7.248506985326544
6.9,4.3838780616029736,6.216869944629195,3.223543891024099,7.700127094505599,4.456974667003825,7.218356100007663
7.0,4.0506975856990115,6.16630892612057,0.9876692141076411,7.5264508205329435,5.18226803551606,7.192020169906617
7.1,4.744816217498642,6.162963103386211,1.1076871527201173,7.373031221860864,7.0857926383540795,7.16770590756744
