t,V,N,m,h
0.0,0.0,0.3176769140606974,0.05293248525724958,0.5961207535084603
0.1,4.84678346325602,0.3183988872724436,0.05879460408956797,0.5950396684575919
0.2,9.45501567808893,0.32064485568247103,0.07483905910132237,0.5915074400947495
0.3,13.984583611904467,0.32454532487011395,0.10057133930818316,0.5849269639604193
0.4,18.786676589472055,0.3303026604215929,0.1371642614281431,0.5743920067620244
0.5,24.659783200293656,0.33836715433263653,0.18823642549352188,0.5583039620880834
0.6,33.45236037140429,0.3498834568832204,0.26316800305716803,0.5335357136950184
0.7,49.43679485952595,0.3678030669340833,0.38395726421749193,0.49627995724172774
0.8,78.18159266112987,0.39838898982568866,0.5774451135000904,0.4513730715350882
0.9,103.55267765881759,0.44455611538477174,0.7842991247985484,0.4085609129645008
1.0,107.9345955906686,0.4943573714288067,0.9042639410011293,0.3697178115751591
1.1,106.11415817993132,0.5395735545817795,0.9572533620247949,0.33456974411474893
1.2,103.02965974282021,0.579347352825741,0.9799172910105186,0.3027729635434019
1.3,99.18723433094392,0.6139858004394162,0.9896076239378939,0.27401293896126633
1.4,94.78963421391975,0.6439208360809661,0.9936290058715032,0.24800648997886518
1.5,90.01480441261856,0.6696146913134913,0.9950158809172771,0.22449986471994257
1.6,85.0180889553305,0.6915259585479775,0.9950001176344585,0.20326702459500637
1.7,79.92558683939019,0.7100879008608059,0.994031496570633,0.18410835504800435
1.8,74.8325333499232,0.7256955746465821,0.9921954296634828,0.16684977972224524
1.9,69.80578221994294,0.7386999102055142,0.9893808099310843,0.15134219396666002
2.0,64.88835452565014,0.7494067308414853,0.9853430573206152,0.13746106057987464
2.1,60.10452616253383,0.7580788799602661,0.9797220748637824,0.12510590174500444
2.2,55.46445751669098,0.7649400299774882,0.9720403191997127,0.11419927002706053
2.3,50.96766078120819,0.7701791366122959,0.9616923579077309,0.10468463201425347
2.4,46.60467143704713,0.7739547625131223,0.9479313244475877,0.09652260788984074
2.5,42.356296717444096,0.7763986109701779,0.9298535231796631,0.08968546418160747
2.6,38.19004974028663,0.7776176523890337,0.9063767594079841,0.08415086372765714
2.7,34.0540582027708,0.777694344194319,0.876200095824364,0.07989726811066951
2.8,29.869951911521017,0.7766848159919847,0.8377268032353071,0.0769038926128914
2.9,25.528254033303362,0.7746157081477599,0.7889414290739644,0.0751567345148475
3.0,20.89473175186585,0.7714819910636487,0.7272893575697265,0.07465975859248726
3.1,15.848942765835611,0.7672514830316839,0.649798973489842,0.07544907735282212
3.2,10.396493758565585,0.7618875028415769,0.5541695077274301,0.07760675600072572
3.3,4.873569982495571,0.7554031247675446,0.4421208763686883,0.08125499637952255
3.4,0.04749712213001583,0.7479359966959804,0.32447402323337615,0.086467385193342
3.5,-3.3170155536321047,0.7397722391608494,0.22007214002116843,0.09307822212477873
3.6,-5.128232032678586,0.7312533269783315,0.1428052995341524,0.10063080786537078
3.7,-5.871695315552583,0.7226475515494496,0.09307591799849117,0.10861943326256507
3.8,-6.055646282295906,0.7141095268008447,0.06362073269201338,0.11670179535823898
3.9,-5.98335980111356,0.7057124826776777,0.04694625894853935,0.12470394753633308
4.0,-5.797761605491669,0.697487559224731,0.037799268237036124,0.1325494372906892
4.1,-5.559985355777509,0.6894471618284596,0.03297390305746874,0.14020676206500687
4.2,-5.295454433004658,0.6815958423649857,0.030617139501980375,0.14766340135834066
4.3,-5.014827825976237,0.6739349121963749,0.02968000546064512,0.15491467845332418
4.4,-4.722720895150605,0.6664643427239513,0.029572861798224704,0.16195919252448265
4.5,-4.42125183695205,0.6591835495672971,0.029964744087752362,0.1687969501307786
4.6,-4.1114912408507385,0.6520917205090455,0.030669834966170473,0.175428587516171
4.7,-3.794065756400363,0.6451879545413278,0.031583868446075,0.18185503762243935
4.8,-3.4694155909133393,0.6384713207097449,0.032648572970505836,0.1880773824476041
4.9,-3.137907510138236,0.6319408819928636,0.03383175007691436,0.19409678449212306
5.0,-2.799885464184661,0.625595703276334,0.03511606643275382,0.19991445319768023
5.1,-2.455693541192304,0.6194348518681452,0.036492712055885355,0.2055316272504668
5.2,-2.1056861405959757,0.6134573943929532,0.03795778822690082,0.21094956429835612
5.3,-1.7502318125838006,0.6076623918406342,0.03951023316927969,0.21616953432651684
5.4,-1.3897137885640065,0.6020488937155238,0.041150619473789375,0.221192814856177
5.5,-1.0245286409770205,0.5966159318358203,0.04288044940987273,0.22602068705082684
5.6,-0.6550837083464165,0.5913625141091078,0.04470173640821526,0.23065443230970012
5.7,-0.2817936268454824,0.5862876185411025,0.04661675278004753,0.2350953291022391
5.8,0.0949238402971223,0.5813901877019356,0.04862787546773089,0.23934464988133622
5.9,0.4746525225392967,0.5766691238837777,0.05073749141687987,0.24340365791260357
6.0,0.8569830713944924,0.5721232851336712,0.0529479400736633,0.24727360393343126
6.1,1.2415186351677572,0.5677514823635025,0.05526148055461828,0.2509557225118455
6.2,1.6278808786359666,0.5635524777684933,0.057680277180675504,0.25445122791047764
6.3,2.0157163239011306,0.5595249847360497,0.060206399453458126,0.25776130930631225
6.4,2.404702949688116,0.5556676694483721,0.06284183494025634,0.26088712514757856
6.5,2.7945569970450306,0.5519791543743795,0.0655885146191242,0.2638297964010462
6.6,3.185039942486794,0.5484580238388297,0.06844835089100966,0.26659039841142196
6.7,3.57596563807473,0.5451028318316002,0.07142328850782402,0.26916995108597586
6.8,3.9672076208011324,0.541912112233171,0.07451536923301155,0.2715694070551159
6.9,4.358706568420008,0.5388843916908492,0.07772681250018192,0.2737896373378587
7.0,4.750478141523557,0.5360182052046304,0.08106011068354788,0.27583141425232954
7.1,5.142621191388937,0.5333121147716999,0.0845181434474849,0.27769539086720885
7.2,5.535326668661621,0.5307647312719204,0.08810431159969168,0.27938207650648816
7.3,5.928887499957756,0.528374739937722,0.09182269373441833,0.2808918075595289
7.4,6.323709936791571,0.5261409298254517,0.09567822860890354,0.282224712742049
7.5,6.720326767546933,0.5240622280096039,0.09967693193881992,0.2833806714969015
7.6,7.119413552419966,0.5221377390023396,0.10382614724416608,0.28435926452238736
7.7,7.521808437069984,0.5203667909177644,0.1081348504212337,0.2851597139649828
7.8,7.928537239305016,0.5187489895457886,0.1126140140539036,0.2857808112684502
7.9,8.340845700500632,0.5172842824213728,0.11727704962712425,0.28622082933354503
8.0,8.760241020762798,0.5159730359527295,0.1221403597519921,0.2864774141696245
8.1,9.188546323818633,0.5148161291609815,0.12722402885613956,0.286547450396991
8.2,9.627972927090678,0.5138150693179356,0.13255269921565424,0.28642689230245916
8.3,10.081216598073905,0.5129721371394885,0.13815670798431123,0.28611054846143535
8.4,10.551587418351387,0.5122905715750906,0.14407357596499623,0.2855918040733928
8.5,11.043187527655821,0.5117748087359094,0.15034998135044653,0.28486225797694503
8.6,11.561156267944432,0.5114307966695255,0.15704443347012764,0.2839112398609089
8.7,12.11201408841413,0.5112664161137728,0.16423092867876543,0.2827251592811857
8.8,12.70415259208367,0.5112920541340207,0.17200404601675515,0.28128661082400935
8.9,13.348543809839377,0.5115214003214422,0.18048616618395716,0.2795731220400486
9.0,14.059788703076583,0.5119725752997766,0.18983788486615047,0.277555364296552
9.1,14.857697355328014,0.512669764713616,0.20027332316022012,0.27519454097165535
9.2,15.769726163332388,0.513645643636868,0.21208310994122417,0.272438481615649
9.3,16.834825781191764,0.5149450662043176,0.22566958635638584,0.2692156589796969
9.4,18.109661106292865,0.516630839417498,0.2416018537236073,0.2654258019525891
9.5,19.678883533960963,0.518793021644826,0.2607033492807575,0.2609248858013413
9.6,21.67233292392993,0.5215643168923512,0.2841924038894604,0.2555010477732625
9.7,24.293663135320838,0.5251461010585413,0.31390485501160265,0.24883755268064534
9.8,27.865134696461023,0.5298524394933964,0.3526213216775347,0.24046638610423224
9.9,32.882103127506234,0.5361802677672645,0.40442309414381855,0.229761433874744
10.0,40.00787988139934,0.5448957807296787,0.4745305762388462,0.21616981035114596
10.1,49.730599901095125,0.5570316423571442,0.5667102723219182,0.1999510071351006
10.2,61.18391267226201,0.5734643971046004,0.675662906779313,0.1826479723298812
10.3,71.0474656101973,0.5938600807775228,0.7812707059127257,0.16590545491950123
10.4,76.07079918411243,0.6161806459639829,0.8622892003242595,0.15044011424553655
10.5,76.37868255829089,0.6380066198803088,0.9140368842904023,0.13637661754301925
10.6,73.83247468198054,0.6578495162199769,0.9436668849865446,0.12366589956213944
10.7,69.87064972827288,0.6751455033392524,0.959257037042004,0.11222702911435026
10.8,65.27519219949805,0.6898208911275591,0.9661219824583398,0.10198396200696527
10.9,60.45272360054233,0.7020085825568119,0.9671024929011689,0.0928757665052255
11.0,55.617505015249556,0.7119151497522213,0.9634558279402903,0.08485917602025983
11.1,50.879597886242614,0.7197618143986875,0.9554921845561707,0.07790752807196089
11.2,46.28886042845486,0.7257586891456923,0.9429421687834456,0.07200681857084237
11.3,41.85715612921807,0.7300940876776418,0.925158880989005,0.06714942219284915
11.4,37.5677909549519,0.7329301392412818,0.9012272316420408,0.06332728341927993
11.5,33.377498654681574,0.7344003052827859,0.8700122931544578,0.06052783239122284
11.6,29.21586492462241,0.7346070360950606,0.8301550939326313,0.058735735263150145
11.7,24.9876055787484,0.7336198576269691,0.780031168193115,0.0579411389622879
11.8,20.585351459232363,0.7314761263655907,0.7177450904329816,0.058152136656810106
11.9,15.926921645867358,0.7281890803695134,0.6413838843368832,0.0594078607477626
12.0,11.037378678816026,0.7237703791641663,0.5500237209887641,0.061786793672049485
12.1,6.170475694212011,0.7182722738364973,0.4460867303218511,0.06539440808267327
12.2,1.8494487590657052,0.7118367162492786,0.3382353926604586,0.07029620997084704
12.3,-1.3807608374979452,0.7047082101818289,0.2403792274153596,0.07639598134156743
12.4,-3.3554130795790913,0.6971761170353654,0.16390498100329162,0.08338605581456439
12.5,-4.333259535774973,0.6894881318115876,0.11123995636169212,0.09087338869551488
12.6,-4.693745022054548,0.6818083846050876,0.07796012831156296,0.09853984879984619
12.7,-4.721979146011394,0.6742282826590933,0.058011919745842945,0.10619044227621004
12.8,-4.5815657650251245,0.6667938576664455,0.046484482376302844,0.11372285133662371
12.9,-4.355644452924033,0.6595270946926464,0.040074532437585915,0.12108740988024652
13.0,-4.084516592973628,0.6524381432201335,0.036732368549820975,0.1282609593278509
13.1,-3.787568234926008,0.6455314762918006,0.0352305797043496,0.13523309431920685
13.2,-3.474273366724243,0.6388088473567338,0.03484516562320766,0.1419994974212803
