t,m1,p1,m2,p2,m3,p3
0.0,0.2,0.1,0.3,0.1,0.4,0.5
0.1,20.30482699941492,0.2790605006855712,26.21569744322774,0.355058082477436,26.861650222646844,0.8090665404905906
0.2,30.990333278749556,0.8000829870272452,45.35777634003782,1.078358703527234,43.951394845610736,1.5831502678983715
0.3,33.9833683600473,1.4967828146544653,53.89450440788417,2.059478424505619,48.78228304722827,2.4868769254951024
0.4,32.47450837681838,2.0956757330939344,54.64648444214122,3.1291950960720714,48.17210738392672,3.4090120754731648
0.5,31.34704851923516,2.6529245609790277,53.353211878387526,4.0716672561207075,44.34679496971923,4.220175499041743
0.6,29.740340043957808,3.2134571776136194,52.94150030128859,5.029740989902989,41.51904244399154,4.996765285507069
0.7,28.86249610410956,3.694479713727904,50.55602633152936,5.915247572039876,39.0546872509537,5.671341143585799
0.8,27.334947869200178,4.147116303293994,47.90218047536491,6.722269803169324,35.9901326282293,6.281597226220769
0.9,25.29151013438242,4.651667215425993,44.503340308067735,7.5226735286951945,33.36512706986301,6.818646326669004
1.0,23.314535553704452,5.021317874121198,39.938501802375065,8.250206743985855,30.199785026854986,7.256500022894848
1.1,22.275713764967385,5.43262046256301,36.6872568776689,8.867400079300626,28.68038337083644,7.703200230752036
1.2,20.670988204110603,5.724794724010286,34.4217008320691,9.416335143019325,27.252159345152876,8.111159542591462
1.3,18.050578052485328,5.9553472181292175,32.73733775320495,9.90070830735986,26.6664134360215,8.463798382618865
1.4,17.651299083711034,6.191810911909156,31.24670682976219,10.33307182561872,23.98418645124546,8.7915605226107
1.5,16.74960043619926,6.373188531050698,28.01145768835884,10.63904845496858,22.237978958788982,9.095327567345329
1.6,14.776230375280344,6.565424869249266,25.13342827179232,10.98333965484054,21.20411200718763,9.316942036550447
1.7,12.953465126044353,6.666760886663119,24.26363130610057,11.258754142430368,19.358721956227438,9.521639110623074
1.8,14.09600653075963,6.794460407514278,22.856932345965426,11.480922237833443,18.782054004095997,9.69070045505275
1.9,15.019822441283289,6.992204678739537,21.28399679778138,11.690491904331873,16.116685565797244,9.8192681304283
2.0,14.39596722511842,7.1557571342082475,19.198126019504333,11.882277070507675,13.788723845054475,9.933899752943157
2.1,11.86360369339435,7.223496899499239,19.52840991361887,12.010382616927904,11.68244341955741,9.979139068400487
2.2,11.499036251828823,7.361882284554067,17.5893072865146,12.131603707922306,10.577794990195047,9.975810825150715
2.3,9.708590688892983,7.466510360606231,16.48850816291085,12.16821672120455,9.63559884457249,9.955022054516544
2.4,8.158173682826222,7.520987602568046,16.632994708687985,12.228273254497148,8.41033999385396,9.96529306949246
2.5,7.31809779148145,7.5247533727282825,16.46026438167067,12.326749824911326,7.290196290153163,9.897024739023523
2.6,5.803569770357849,7.510097773936353,15.21395370243655,12.431513679738943,4.749565219866153,9.784256186642521
2.7,5.73264893898063,7.487608195283666,14.050129961209887,12.43033772100023,4.738462583094635,9.685554318424192
2.8,6.15048209492329,7.50464379426514,14.024856015161403,12.475782130826076,4.470780869707105,9.5707117007063
2.9,5.44592046205741,7.446837057594125,12.356996862068364,12.493558610626177,3.699276902621532,9.453402627800575
3.0,4.764794607506163,7.426977101547083,11.503128748099552,12.488587876879803,4.02942133422489,9.349701570484864
3.1,5.1449733974141365,7.372757158407702,12.274426769516781,12.517407679086642,3.642257241907475,9.252778810932982
3.2,3.700401902146394,7.345114286081875,11.264664666685096,12.465567714808211,2.361631010572664,9.14182302898818
3.3,2.7107847244496064,7.2582625319285246,10.545737964950261,12.38260021285898,3.0424755680566045,9.005820677761147
3.4,2.9082653321529546,7.171333210888171,9.244900478710719,12.34136499727269,3.3952104319995215,8.911055409495843
3.5,1.9836731557221385,7.035125619846393,9.091129544910883,12.244933538838332,3.9900494311377823,8.87815309161562
3.6,2.392394196060191,6.924602981227716,8.533052875432812,12.14747980075592,2.3781095400151626,8.786146479504032
3.7,2.3369552982116595,6.837409992410176,8.743660039047604,12.047677257206042,3.084264914796309,8.665868636810584
3.8,2.633494880136434,6.690659470567248,7.299707910481238,11.939888837484743,4.1156724350043925,8.61328674078761
3.9,2.5910264196591837,6.61979422562811,6.81913568900783,11.855975860228003,5.73382245600328,8.521160028325804
4.0,2.6118999767288122,6.531444885136243,7.623592802650305,11.811321306811514,3.6840949762846553,8.422779250802733
4.1,3.664319096468359,6.497647362369789,7.586407099085108,11.75374964079212,3.4772071906816007,8.251091082316753
4.2,4.446348616856078,6.4447646258203255,8.882969498536278,11.660001663210313,2.977098144650699,8.151445657222448
4.3,4.415288427209002,6.424343419628548,8.697659823990291,11.633239942841527,1.6612474759139702,8.012303332637112
4.4,3.945448133387811,6.398946165823583,7.935860537489862,11.530384938873029,1.6505357025448355,7.921722324213799
4.5,4.560338763128582,6.341759759838521,9.364870685555582,11.431752610861293,1.315507608322056,7.73650737359388
4.6,5.1969759219170095,6.280884556404404,8.785920622800655,11.397863074181894,2.564249654019229,7.6157294267800895
4.7,4.280341189530545,6.267238273528658,9.401412594644329,11.396328166006398,2.3123620403862946,7.541324467590623
4.8,6.043141354620667,6.246903769859543,9.104301576180385,11.325775872544,3.357170454621058,7.48629660846431
4.9,8.089408837424912,6.27250329073102,8.538994841657138,11.320014691926865,4.49725199460222,7.373736954211223
5.0,6.980951638601091,6.2935868447647,8.401898096104132,11.26103635422601,5.235472307197067,7.311308230161753
5.1,7.580958735948255,6.335265772310825,7.072476907454096,11.194170392175202,5.890109404094038,7.340791737072218
5.2,7.119885292129008,6.3777836737095335,4.784028391838676,11.1057163283845,6.253948664117813,7.333720444860114
5.3,6.137580178691213,6.40463663597326,5.126461671198193,11.012286995891717,6.0713663050247035,7.288336273790204
5.4,4.621605670102596,6.413748145347119,6.3459741709820605,10.911643278308992,5.77042348517359,7.318331311724344
5.5,4.148812989111512,6.389362295929102,5.294152224470645,10.810586709939257,6.860361208363697,7.316824233828928
5.6,3.5311410843072086,6.341553413890742,5.103241184095629,10.675731118780098,3.730303948298687,7.226893722176384
5.7,3.0198469780590136,6.275838464274152,5.049063368561391,10.556450253880838,4.263915088544839,7.179115469580571
5.8,3.0811065538926083,6.248617002293184,3.5228968818130797,10.40073639101317,4.242656740390731,7.132519823013817
5.9,5.151229754353051,6.277208576021497,3.3121496206826864,10.261428404091387,3.917671092457227,7.098792910279584
6.0,5.47284467747902,6.22716575050088,3.8186190014646555,10.136035919857038,3.0403473590093384,7.039551550688702
6.1,5.482176964327959,6.193811246866802,5.384764262795561,10.033359533002463,2.5524443706722066,6.929138365323334
6.2,6.558855098651662,6.184660338123874,5.877155539269777,9.970740689362868,4.047000353870896,6.903871183909207
6.3,6.802311568072633,6.154005236686188,6.062525207094923,9.869186763305706,2.98351432799203,6.843927131713658
6.4,7.998723824805061,6.1466086527917465,5.758558231430766,9.794041568212434,3.200059254377773,6.769588855098742
6.5,8.122592787529369,6.168982096605218,6.590182084588495,9.757308624846706,4.1564038038796545,6.6933870518703085
6.6,7.534574266513275,6.210288813956817,6.352097026500662,9.652486651681253,4.6412120351562915,6.676661518807449
